league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
E2,League One,1x2_draw,291,0.544932958782029,0.1792986092647093,0.5438116531046325,0.17909356339526158
E2,League One,1x2_home,291,0.6964379774628754,0.25183956247215034,0.7022288009328667,0.2544270662825627
E2,League One,btts_no,291,0.6937443063056776,0.2501221022267399,0.6942349431201205,0.2503351734379516
E2,League One,btts_yes,291,0.6937443063056776,0.2501221022267399,0.6942349431201205,0.2503351734379516
E2,League One,dc_12,291,0.5449329587820289,0.17929860926470928,0.5438116531046325,0.17909356339526158
E2,League One,dc_1x,291,0.596784388559748,0.2032882800016785,0.6016545476951531,0.20632719915983905
E2,League One,dc_2x,291,0.6964379774628754,0.2518395624721503,0.7022288009328667,0.2544270662825627
E2,League One,over_0.5,291,0.21082609274386227,0.051381264254496725,0.21282065727774568,0.051713464241434345
E2,League One,over_1.5,291,0.5946615181842669,0.20033320906719537,0.591311270620372,0.1991912330745523
E2,League One,over_2.5,291,0.7077553639658178,0.2558859305124846,0.7035412024289938,0.25403692274356543
E2,League One,over_3.5,291,0.5805302352456867,0.19678155416361942,0.5614514004820381,0.18734965609284293
E2,League One,under_0.5,291,0.21082609274386233,0.051381264254496725,0.21282065727774568,0.05171346424143435
E2,League One,under_1.5,291,0.5946615181842669,0.20033320906719532,0.5913112706203719,0.1991912330745523
E2,League One,under_2.5,291,0.7077553639658176,0.2558859305124846,0.7035412024289938,0.25403692274356543
E2,League One,under_3.5,291,0.5805302352456867,0.1967815541636194,0.561451400482038,0.18734965609284293
E3,League Two,1x2_away,292,0.6354353005449833,0.2201670845603075,0.626795696476382,0.21719880471765562
E3,League Two,1x2_draw,292,0.5883654886870873,0.1992920281228282,0.5827825880889639,0.19715143954294306
E3,League Two,1x2_home,292,0.6974368419367348,0.25211964155809147,0.6762533579613952,0.24179770288890695
E3,League Two,btts_no,292,0.7335389668665419,0.26901077600232115,0.7274986856117645,0.26647614924700236
E3,League Two,btts_yes,292,0.7335389668665419,0.26901077600232115,0.7274986856117645,0.26647614924700236
E3,League Two,dc_12,292,0.5883654886870874,0.1992920281228282,0.582782588088964,0.19715143954294306
E3,League Two,dc_1x,292,0.6354353005449833,0.2201670845603075,0.626795696476382,0.21719880471765562
E3,League Two,dc_2x,292,0.6974368419367348,0.2521196415580914,0.6762533579613952,0.24179770288890695
E3,League Two,over_0.5,292,0.22232442628362503,0.052972924457981935,0.2217677000401151,0.05328973721328281
E3,League Two,over_1.5,292,0.5858545903637894,0.19375792427814206,0.5735068843375509,0.19125342019632055
E3,League Two,over_2.5,292,0.7345905910342662,0.26898983948499167,0.7086739392244356,0.25683997453754165
